# RL-C
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
1.805776e+04,1.172870e-02,7.992161e-05,-3.155642e-01,9.826992e-03
1.843701e+04,1.184051e-02,2.332668e-04,-3.526054e-01,5.900555e-03
1.882423e+04,1.208101e-02,9.404109e-05,-3.903990e-01,8.153517e-03
1.921958e+04,1.230876e-02,1.108487e-04,-4.243443e-01,4.845915e-03
1.962323e+04,1.249874e-02,9.820835e-05,-4.573127e-01,1.261104e-02
2.003536e+04,1.286131e-02,1.087949e-04,-4.910113e-01,3.559933e-03
2.045615e+04,1.309866e-02,9.262804e-05,-5.156725e-01,5.654351e-03
2.088577e+04,1.345874e-02,2.151751e-04,-5.476201e-01,1.007356e-02
2.132442e+04,1.380418e-02,2.513634e-04,-5.722750e-01,9.088036e-03
2.177227e+04,1.420914e-02,9.909874e-05,-5.945620e-01,5.276269e-03
2.222954e+04,1.467331e-02,9.755601e-05,-6.144131e-01,3.805498e-03
2.269641e+04,1.509430e-02,6.912893e-05,-6.333354e-01,5.194698e-03
2.317308e+04,1.549351e-02,6.336899e-05,-6.490125e-01,4.605024e-03
2.365976e+04,1.590224e-02,4.562046e-04,-6.647656e-01,1.278623e-02
2.415667e+04,1.636600e-02,8.934946e-05,-6.785993e-01,2.351400e-03
2.466401e+04,1.687460e-02,5.559278e-05,-6.900396e-01,1.070601e-02
2.518201e+04,1.741316e-02,7.496190e-05,-6.963294e-01,4.431067e-03
2.571089e+04,1.780236e-02,2.970856e-04,-7.037319e-01,1.274317e-02
2.625087e+04,1.838954e-02,6.752161e-05,-7.107038e-01,7.172494e-03
2.680219e+04,1.873260e-02,5.774727e-04,-7.161155e-01,8.006037e-03
2.736510e+04,1.929025e-02,4.749289e-04,-7.206364e-01,1.075178e-02
2.793982e+04,1.982665e-02,2.468590e-04,-7.216056e-01,3.060583e-03
2.852662e+04,2.045084e-02,7.713276e-05,-7.232150e-01,2.905366e-03
2.912574e+04,2.090470e-02,6.020575e-05,-7.249611e-01,3.592617e-03
2.973744e+04,2.120408e-02,5.198554e-04,-7.246846e-01,9.767678e-03
3.036199e+04,2.171268e-02,7.206674e-04,-7.238271e-01,5.171034e-03
3.099966e+04,2.221446e-02,6.808076e-04,-7.213596e-01,3.358552e-03
3.165072e+04,2.261325e-02,8.293811e-04,-7.203566e-01,9.338123e-03
3.231545e+04,2.311736e-02,7.102304e-04,-7.140039e-01,9.093398e-03
3.299415e+04,2.356912e-02,6.089557e-04,-7.096718e-01,1.566094e-02
3.368709e+04,2.434993e-02,6.923828e-05,-7.079208e-01,3.618562e-03
3.439460e+04,2.477121e-02,5.625349e-05,-7.024928e-01,6.724332e-03
3.511696e+04,2.516065e-02,1.535459e-04,-6.973264e-01,1.083563e-02
3.585449e+04,2.544122e-02,5.076024e-04,-6.910456e-01,1.156065e-02
3.660751e+04,2.616603e-02,7.845992e-05,-6.872635e-01,2.386373e-03
3.737634e+04,2.655133e-02,2.510005e-04,-6.814100e-01,6.948477e-03
3.816133e+04,2.682072e-02,7.759149e-04,-6.753783e-01,1.347853e-02
3.896280e+04,2.746303e-02,5.054250e-05,-6.673180e-01,2.699499e-03
3.978110e+04,2.771715e-02,2.668594e-04,-6.600152e-01,1.060607e-02
4.061659e+04,2.778349e-02,1.106427e-03,-6.507003e-01,1.940179e-02
4.146962e+04,2.855144e-02,2.018244e-04,-6.463460e-01,1.629920e-03
4.234058e+04,2.849727e-02,1.268397e-03,-6.375949e-01,8.171528e-03
4.322982e+04,2.928078e-02,1.526333e-04,-6.313682e-01,9.682181e-03
4.413774e+04,2.976776e-02,2.858309e-05,-6.241078e-01,1.026724e-03
4.506473e+04,2.971038e-02,9.187281e-04,-6.140923e-01,1.578070e-02
4.601118e+04,3.043699e-02,2.417974e-05,-6.075901e-01,5.477925e-03
4.697751e+04,2.997422e-02,2.483788e-03,-6.040975e-01,2.108801e-02
4.796414e+04,3.075148e-02,1.318630e-03,-5.934669e-01,1.537095e-02
4.897149e+04,3.134821e-02,4.834582e-04,-5.845728e-01,8.019981e-03
5.000000e+04,3.177298e-02,3.275596e-05,-5.755933e-01,7.187406e-04
