# RC-L
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
3.644277e+03,3.930336e-02,4.810748e-05,4.693643e-01,1.475950e-03
3.720815e+03,3.914043e-02,6.466645e-05,4.781513e-01,2.117006e-03
3.798960e+03,3.899005e-02,6.633444e-05,4.867570e-01,1.629854e-03
3.878746e+03,3.881392e-02,9.297412e-05,4.949456e-01,2.233837e-03
3.960208e+03,3.862795e-02,5.518810e-05,5.044313e-01,1.801510e-03
4.043381e+03,3.839792e-02,6.254273e-06,5.164984e-01,1.233501e-04
4.128301e+03,3.826116e-02,5.610263e-05,5.219810e-01,1.868024e-03
4.215004e+03,3.812371e-02,7.414788e-05,5.309785e-01,2.514899e-03
4.303528e+03,3.793231e-02,8.102681e-05,5.399592e-01,2.061695e-03
4.393912e+03,3.770149e-02,1.306415e-04,5.498512e-01,2.795476e-03
4.486193e+03,3.751099e-02,9.201076e-05,5.590026e-01,1.881670e-03
4.580413e+03,3.729787e-02,5.891167e-05,5.681859e-01,1.607674e-03
4.676611e+03,3.707550e-02,5.792374e-05,5.779696e-01,2.315117e-03
4.774830e+03,3.685459e-02,5.444315e-05,5.876644e-01,1.691590e-03
4.875112e+03,3.661110e-02,5.806117e-05,5.973392e-01,1.009005e-03
4.977500e+03,3.635402e-02,1.016006e-04,6.069092e-01,1.931541e-03
5.082038e+03,3.610487e-02,5.784910e-05,6.167779e-01,1.808286e-03
5.188772e+03,3.584611e-02,2.353020e-05,6.265147e-01,1.583774e-03
5.297747e+03,3.556973e-02,5.290879e-05,6.365658e-01,9.899594e-04
5.409011e+03,3.527945e-02,3.045905e-05,6.463697e-01,2.288662e-03
5.522612e+03,3.499219e-02,2.770995e-05,6.564423e-01,1.154593e-03
5.638599e+03,3.469111e-02,3.249873e-05,6.663233e-01,9.946561e-04
5.757021e+03,3.437811e-02,3.057077e-05,6.763953e-01,8.981303e-04
5.877931e+03,3.405209e-02,3.574399e-05,6.864580e-01,1.487476e-03
6.001380e+03,3.371673e-02,5.866168e-05,6.965680e-01,2.236487e-03
6.127422e+03,3.336962e-02,3.899442e-05,7.061338e-01,5.168791e-04
6.256111e+03,3.301748e-02,7.975445e-05,7.162307e-01,1.114713e-03
6.387503e+03,3.265368e-02,3.660666e-05,7.263013e-01,3.146291e-03
6.521654e+03,3.228877e-02,4.764574e-05,7.362473e-01,1.655856e-03
6.658623e+03,3.188836e-02,8.093986e-05,7.455654e-01,1.963237e-03
6.798468e+03,3.149347e-02,8.415516e-05,7.551766e-01,3.029086e-03
6.941251e+03,3.109259e-02,9.858818e-05,7.647891e-01,2.839795e-03
7.087032e+03,3.064963e-02,1.222646e-04,7.742188e-01,2.605066e-03
7.235875e+03,3.020923e-02,1.022130e-04,7.827699e-01,5.192267e-03
7.387844e+03,2.979765e-02,1.145690e-04,7.920144e-01,4.397454e-03
7.543004e+03,2.931450e-02,1.267906e-04,8.007079e-01,4.863311e-03
7.701424e+03,2.884688e-02,1.471657e-04,8.110723e-01,4.354114e-03
7.863170e+03,2.838507e-02,1.494592e-04,8.183637e-01,6.702427e-03
8.028313e+03,2.807058e-02,2.671944e-05,8.237559e-01,1.838410e-03
8.196925e+03,2.744948e-02,1.250524e-04,8.382658e-01,2.338955e-03
8.369078e+03,2.688436e-02,1.578643e-04,8.401328e-01,4.425691e-03
8.544847e+03,2.635580e-02,1.398306e-04,8.455784e-01,4.858443e-03
8.724307e+03,2.583824e-02,1.379787e-04,8.533501e-01,5.014943e-03
8.907536e+03,2.527342e-02,1.837481e-04,8.585227e-01,4.430842e-03
9.094614e+03,2.473560e-02,1.996893e-04,8.638473e-01,4.544609e-03
9.285620e+03,2.423620e-02,1.272229e-04,8.683113e-01,4.742559e-03
