# LC-R
{'R_sense': 10, 'R_circuit': 10, 'C': 4.7e-07, 'L': 0.000221, 'Vpk': 0.6}
3.816133e+04,2.649805e-02,7.208308e-04,1.090329e-01,2.827931e-03
3.896280e+04,2.663304e-02,8.672840e-05,1.061491e-01,1.398680e-03
3.978110e+04,2.647016e-02,2.316513e-04,1.035795e-01,3.092633e-03
4.061659e+04,2.611539e-02,1.040970e-03,9.956931e-02,3.200299e-03
4.146962e+04,2.643066e-02,8.183666e-05,9.894447e-02,1.459473e-03
4.234058e+04,2.590943e-02,1.820106e-03,9.660339e-02,3.281595e-03
4.322982e+04,2.635436e-02,1.255282e-04,9.371512e-02,1.283286e-03
4.413774e+04,2.645826e-02,2.493392e-05,9.163495e-02,2.192142e-03
4.506473e+04,2.602264e-02,9.955107e-04,8.931054e-02,1.895653e-03
4.601118e+04,2.634348e-02,1.956992e-04,8.712685e-02,1.674823e-03
4.697751e+04,2.569958e-02,1.770254e-03,8.508154e-02,1.213096e-03
4.796414e+04,2.605572e-02,5.317097e-04,8.235069e-02,3.479043e-03
4.897149e+04,2.621910e-02,2.949235e-04,8.069178e-02,1.003899e-03
5.000000e+04,2.628069e-02,4.437529e-05,7.890138e-02,1.610406e-03
